id,symbol,name,nameid,rank,price_usd,percent_change_24h,percent_change_1h,percent_change_7d,price_btc,market_cap_usd,volume24,volume24a,csupply,tsupply,msupply
99,DCR,Decred,decred,82,50.73,-0.91,0.23,-16.06,0.001412,709418411.30,27119403.606876284,37523397.02251091,13984613.00,13984613,21000000
32686,HOT,Holo,holo,83,0.003986,2.35,0.57,-7.90,1.11E-7,689810426.78,16006815.10210764,22810232.32154343,173037114405.00,177619433541,
62645,MINA,Mina Protocol,mina-protocol,84,1.83,5.16,1.50,-6.81,0.000051,665568412.68,43824062.58422664,55562056.03669972,364502193.00,889725772.84004,889725772.84004
33768,TFUEL,Theta Fuel,theta-fuel,85,0.123012,-2.63,-1.75,-18.71,0.000003,652111107.83,17766654.920789633,17836876.009713616,5301214400.00,5301214400,
64675,KAVA,Kava,kava,86,3.75,-2.72,-0.81,-31.95,0.000104,635549880.05,41549518.738347456,46292402.4845547,169301176.00,176752446,176752446
47304,COMP,Compound,compound,87,102.36,-0.22,0.29,-16.23,0.002849,633830357.70,46461135.10389077,50648497.102758326,6192346.00,10000000,10000000
44497,RENBTC,renBTC,renbtc,88,35893.45,-0.27,0.11,-9.18,0.999089,623541059.31,1459988.1752795067,2283706.3910220633,17372.00,18100,13698
2515,KNC,Kyber Network,kyber-network,89,3.02,-0.43,5.59,-45.63,0.000084,619478840.91,281340889.3939229,349588786.5261687,205048084.00,215625349,226000000
44710,YFI,yearn.finance,yearn-finance,90,16738.99,0.31,0.36,-6.23,0.465927,613266406.61,68879068.6940413,67573571.55585583,36637.00,36666,36666
2729,ZRX,0x,0x,91,0.699134,0.18,0.38,-11.92,0.000019,591114891.43,110267096.48200373,145326599.91165206,845496054.00,1000000000,1000000000
43242,KDA,Kadena,kadena,92,3.59,-0.46,0.83,-22.05,0.000100,568275935.81,45438037.12273825,48722480.363547616,158390764.00,1000000000,1000000000
46572,ROSE,Oasis Network,oasis-network,93,0.161203,-1.19,0.33,-24.01,0.000004,563084892.81,52563557.92636901,64865637.29446971,3493014306.00,10000000000,10000000000
56831,MSOL,Marinade staked SOL,marinade-staked-sol,94,85.11,-0.74,-0.33,-16.30,0.002369,557864796.71,8778529.533898886,8265557.98524033,6554377.00,,
64679,SYN,Synapse,synapse,95,2.96,-6.31,1.88,-1.61,0.000082,537055373.26,8981874.859574592,18384144.88775088,181425439.00,,
237,QTUM,Qtum,qtum,96,5.41,1.53,0.13,-10.83,0.000150,534672278.60,120742895.8951228,125104095.68497147,98908022.00,100909224,100909224
33723,SNX,Synthetix Network Token,synthetix-network-token,97,4.60,3.83,0.12,-18.79,0.000128,528052839.17,107277382.98171964,90487428.00491734,114841533.00,229573463,212424133
32719,IOTX,IoTeX,iotex,98,0.055006,3.39,0.94,-21.06,0.000002,524797547.52,23666855.91410731,28253541.95223676,9540779324.00,10000000000,10000000000
232,OMG,OmiseGO,omisego,99,3.66,-0.62,0.62,-10.57,0.000102,513180129.68,97357774.2301095,112315601.82152712,140245398.00,140245398,140245398
33435,CEL,Celsius,celsius,100,2.01,0.22,-0.04,-4.88,0.000056,481161821.71,3771449.6947413073,3990503.2194222105,238863519.00,694720929,
